EMD_NM,버스정거장수,버스노선수,지하철역수,인구수
가야동,50,292,2,34681
감만동,59,176,0,14636
감전동,48,356,1,11983
감천동,58,336,0,22279
강동동,91,362,0,5002
개금동,83,486,1,54872
거제동,115,694,3,70466
광안동,73,436,4,65979
괘법동,38,296,1,24389
괴정동,88,516,3,59438
구랑동,14,80,0,58
구서동,71,344,2,49747
구평동,74,270,0,12424
구포동,100,626,3,56817
금곡동,64,336,2,35281
금사동,37,152,1,4680
금성동,24,48,0,914
기장읍,240,1652,0,51721
낙민동,20,192,1,19744
남부민동,33,308,0,12378
남산동,47,274,1,26347
남천동,39,190,2,30056
남포동1가,4,50,1,56
남포동4가,4,108,0,187
남포동5가,4,108,0,206
남포동6가,2,24,1,300
남항동1가,8,26,0,2977
남항동2가,8,32,0,1053
남항동3가,8,16,0,1675
노포동,16,182,1,740
녹산동,33,174,0,1160
눌차동,8,18,0,716
다대동,135,730,3,61663
당감동,73,462,0,42613
당리동,44,200,1,24095
대교동1가,8,76,0,1141
대교동2가,5,56,0,1313
대연동,193,960,3,96097
대저1동,123,472,3,5814
대저2동,124,352,0,6520
대창동1가,1,48,0,533
대창동2가,1,34,0,64
대청동1가,1,0,0,979
대청동2가,3,12,0,487
대청동3가,3,10,0,148
대청동4가,10,32,0,4123
대평동1가,5,10,0,1708
대평동2가,2,4,0,324
대항동,11,36,0,698
덕천동,78,468,4,34169
덕포동,49,310,2,23716
동광동1가,1,38,0,135
동광동3가,1,12,0,126
동광동5가,4,14,0,2009
동대신동1가,10,62,0,5285
동대신동2가,19,62,1,6611
동대신동3가,35,144,0,7231
동삼동,149,796,0,41811
동선동,5,20,0,1026
두구동,31,118,0,1571
만덕동,116,478,1,60050
망미동,78,298,0,35925
명륜동,51,300,0,26253
명장동,74,294,1,27095
명지동,240,1378,0,84346
모라동,76,486,1,35374
문현동,87,328,3,44202
미음동,45,130,0,72
민락동,38,208,1,27495
반송동,50,258,2,33320
반여동,128,620,0,68123
범방동,41,168,0,1009
범일동,74,552,1,24745
범전동,24,148,0,6272
범천동,48,408,2,33682
보수동1가,25,70,0,5812
보수동2가,3,18,0,2273
복천동,26,82,0,5435
봉래동1가,1,2,0,1389
봉래동2가,7,22,0,2999
봉래동3가,6,32,0,1830
봉래동4가,9,72,0,4900
봉래동5가,17,74,0,2468
봉림동,43,170,0,924
부곡동,81,328,0,51074
부민동1가,3,18,0,1259
부민동2가,1,0,0,278
부민동3가,7,28,0,3066
부암동,64,294,0,43731
부용동1가,2,16,0,1514
부용동2가,2,20,0,1204
부전동,56,624,3,21723
부평동1가,1,4,0,686
부평동2가,4,28,0,1028
부평동3가,3,22,0,656
부평동4가,1,2,0,1788
사직동,102,512,1,51790
삼락동,38,118,0,5176
생곡동,39,224,0,536
서대신동1가,8,56,0,5479
서대신동2가,23,126,1,9374
서대신동3가,47,198,0,14563
서동,42,200,1,23046
석대동,21,252,2,316
선동,11,34,0,499
성북동,43,170,0,1073
송정동,168,1034,0,10686
수안동,18,108,1,10930
수영동,23,102,0,13885
수정동,81,416,1,21140
식만동,13,48,0,442
신선동1가,8,44,0,1829
신선동2가,20,82,0,3390
신선동3가,18,90,0,1910
신평동,73,454,2,32776
신호동,43,310,0,16210
아미동1가,4,24,0,282
아미동2가,48,168,0,6098
안락동,74,398,1,39634
암남동,53,382,0,15193
양정동,77,408,1,33818
엄궁동,36,262,0,24237
연산동,208,1080,5,141588
연지동,22,144,0,25671
영선동1가,7,34,0,1158
영선동2가,15,54,0,2495
영선동3가,6,56,0,1626
영선동4가,17,134,0,5796
영주동,28,166,0,10810
오륜동,15,30,0,222
온천동,189,894,6,84984
용당동,38,214,0,7763
용호동,98,454,0,80787
우동,95,780,4,79666
우암동,50,194,0,12112
일광읍,152,530,0,29879
장림동,151,610,2,35822
장안읍,134,530,0,8758
장전동,81,530,2,43468
재송동,98,494,0,58974
전포동,107,424,1,44061
정관읍,219,1394,0,79393
좌동,88,624,1,85011
좌천동,36,180,1,13256
주례동,132,708,2,50179
죽동동,3,6,0,388
죽림동,23,66,0,369
중동,78,416,1,42388
중앙동3가,2,50,0,92
중앙동4가,8,146,1,1220
중앙동6가,6,114,0,57
중앙동7가,3,32,0,0
지사동,73,448,0,10221
천성동,35,152,0,783
철마면,91,340,2,7531
청룡동,24,102,1,8612
청학동,83,366,0,21876
초량동,50,682,2,27832
초읍동,54,260,0,20335
초장동,8,36,0,3795
충무동1가,9,94,0,1326
칠산동,8,24,0,2986
토성동3가,2,16,1,657
토성동4가,3,48,0,319
토성동5가,2,14,0,1838
하단동,60,544,1,46235
학장동,63,336,0,26350
화명동,102,404,3,84894
화전동,42,144,0,3544
회동동,16,114,0,2479
광복동1가,0,0,0,60
광복동2가,0,0,0,23
광복동3가,0,0,0,26
남포동2가,0,0,0,54
남포동3가,0,0,0,7
동광동2가,0,0,0,72
동광동4가,0,0,0,96
보수동3가,0,0,0,2154
신창동1가,0,0,0,337
신창동2가,0,0,0,192
신창동3가,0,0,0,85
신창동4가,0,0,0,60
중앙동1가,0,0,0,236
중앙동2가,0,0,0,394
중앙동5가,0,0,0,568
창선동1가,0,0,0,29
창선동2가,0,0,0,80
충무동2가,0,0,0,1108
충무동3가,0,0,0,633
토성동1가,0,0,0,2702
토성동2가,0,0,0,945
